month,usd_ugx,E_IFEM_MR,E_OFF_MR,E_EP
1996-02,1022.37,,1022.37,1015.96
1996-03,1016.6,,1016.6,1018.58
1996-04,1013.56,,1013.56,1020.56
1996-05,1018.0,,1018.0,1022.13
1996-06,1041.36,,1041.36,1058.82
1996-07,1055.44,,1055.44,1059.9
1996-08,1067.44,,1067.44,1071.67
1996-09,1074.97,,1074.97,1088.85
1996-10,1105.05,,1105.05,1101.83
1996-11,1081.48,,1081.48,1053.22
1996-12,1030.35,,1030.35,1029.59
1997-01,1044.85,,1044.85,1044.01
1997-02,1033.111,,1033.111,1027.65
1997-03,1024.954,,1024.954,1024.7
1997-04,1046.46238095238,,1046.46238095238,1071.3
1997-05,1065.298,,1065.298,1069.08
1997-06,1067.588,,1067.588,1067.49
1997-07,1068.023,,1068.023,1071.03
1997-08,1098.168,,1098.168,1112.17
1997-09,1117.123,,1117.123,1131.87
1997-10,1140.396,,1140.396,1143.88
1997-11,1147.189,,1147.189,1146.58
1997-12,1142.942,,1142.942,1140.11
1998-01,1148.06789473684,,1148.06789473684,1153.14
1998-02,1152.522,,1152.522,1152.4
1998-03,1152.385,,1152.385,1155.18
1998-04,1174.507,,1174.507,1233.77
1998-05,1223.476,,1223.476,1227.49
1998-06,1231.022,,1231.022,1232.0
1998-07,1235.018,,1235.018,1238.67
1998-08,1244.374,,1244.374,1257.16
1998-09,1284.843,,1284.843,1300.52
1998-10,1314.185,,1314.185,1330.57
1998-11,1353.82,,1353.82,1376.13
1998-12,1368.443,,1368.443,1362.69
1999-01,1369.20666666667,,1369.20666666667,1376.77
1999-02,1377.346,,1377.346,1377.19
1999-03,1381.159,,1381.159,1397.05
1999-04,1449.73,,1449.73,1518.18
1999-05,1518.967,,1518.967,1435.61
1999-06,1447.221,,1447.221,1452.56
1999-07,1454.5068,,1454.5068,1459.91
1999-08,1463.40090909091,,1463.40090909091,1468.38
1999-09,1491.668636,,1491.668636,1506.13
1999-10,1507.80428,,1507.80428,1506.03
1999-11,1503.54272727273,,1503.54272727273,1498.85
1999-12,1502.471,,1502.471,1506.04
2000-01,1525.751,,1525.751,1542.7
2000-02,1519.426,,1519.426,1509.35
2000-03,1513.676,,1513.676,1519.86
2000-04,1525.862,,1525.862,1534.23
2000-05,1579.668,,1579.668,1513.97
2000-06,1565.566,,1565.566,1571.65
2000-07,1596.415,,1596.415,1623.64
2000-08,1676.3,,1676.3,1724.845
2000-09,1770.50666666667,,1770.50666666667,1818.325
2000-10,1826.594,,1826.594,1844.905
2000-11,1850.262,,1850.262,1846.065
2000-12,1783.673,,1783.673,1766.68
2001-01,1830.43575,,1830.43575,1800.375
2001-02,1742.96631578947,,1742.96631578947,1761.99
2001-03,1753.78552631579,,1753.78552631579,1790.14
2001-04,1773.8176,,1773.8176,1791.09
2001-05,1782.684,,1782.684,1784.635
2001-06,1767.638,,1767.638,1723.84
2001-07,1725.74,,1725.742,1732.58
2001-08,1750.61,,1750.61,1760.59
2001-09,1752.897,,1752.897,1749.69
2001-10,1737.687,,1737.687,1737.34
2001-11,1736.215,,1736.215,1727.355
2001-12,1713.412,,1713.412,1727.4
