area,households,n_rent,n_sale,median_income,median_price,monthly_payment,own_income_needed,oai,oai_lo,oai_hi,agi_own,ri_own,ri_own_housing_induced,below_nonhousing_min,median_rent,rai,rai_lo,rai_hi,rent_income_needed,agi_rent,ri_rent,ri_rent_housing_induced,ri_rent_median_residual
Wakiso/Kiryamuli,3741.0,0,14,441276.8557,,,,,,,,,,,,,,,,,,,
Wakiso/Balabala,1107.0,0,0,142531.7467,,,,,,,,,,,,,,,,,,,
Buikwe/Njeru South Ward,5653.0,0,0,330406.8878,,,,,,,,,,,,,,,,,,,
Mukono/Bulijjo,3977.0,0,0,372762.71,,,,,,,,,,,,,,,,,,,
Buikwe/Bulyantete,1554.0,0,0,402091.6801,,,,,,,,,,,,,,,,,,,
Luwero/Kakabala,2707.0,0,0,236390.6736,,,,,,,,,,,,,,,,,,,
Kampala/Ggaba,8777.0,47,57,981739.6478,580000000.0,6357625.6441,18164644.6973,5.4047,3.6879,8.2492,1.0,0.9988,0.9921,0.0067,1000000.0,29.4522,26.7747,36.8152,3333333.3333,0.9746,0.6302,0.6235,-227133.4354
Buikwe/Kalagala,1485.0,0,0,169814.5978,,,,,,,,,,,,,,,,,,,
Mukono/Ngombere,1125.0,0,0,213057.8453,,,,,,,,,,,,,,,,,,,
Buikwe/Naminya,4396.0,0,0,386822.0886,,,,,,,,,,,,,,,,,,,
Kampala/Mulago Ii,4288.0,0,0,806690.5402,,,,,,,,,,,,,,,,,,,
Kampala/Kibuli,6960.0,3,0,783307.9485,,,,,,,,,,,,,,,,,,,
Luwero/Kibanyi,1089.0,0,0,212722.7276,,,,,,,,,,,,,,,,,,,
Mpigi/Mbazzi,1278.0,0,0,286418.1234,,,,,,,,,,,,,,,,,,,
Kampala/Kamwokya I,804.0,2,2,1246088.9942,,,,,,,,,,,,,,,,,,,
Mpigi/Nkasi,671.0,0,0,176589.1976,,,,,,,,,,,,,,,,,,,
Luwero/Bwaziba,1297.0,0,0,218012.4534,,,,,,,,,,,,,,,,,,,
Mpigi/Buseese,1106.0,0,0,339333.6128,,,,,,,,,,,,,,,,,,,
Buikwe/Zzitwe,1081.0,0,0,207800.2567,,,,,,,,,,,,,,,,,,,
Mukono/Nantabulirwa Ward,14182.0,5,10,652909.449,,,,,,,,,,,,,,,,,,,
Kampala/Mulago I,1925.0,2,1,1123991.5747,,,,,,,,,,,,,,,,,,,
Buikwe/Kikwayi,1227.0,0,0,230210.0867,,,,,,,,,,,,,,,,,,,
Wakiso/Ngongolo,1650.0,0,0,381403.4432,,,,,,,,,,,,,,,,,,,
Wakiso/Namulanda,6661.0,4,32,693204.598,500000000.0,5480711.7621,15659176.4632,4.4268,3.162,6.1484,0.9999,0.9938,0.8825,0.1113,,,,,,,,,
Wakiso/Bweya,5738.0,0,0,669016.7923,,,,,,,,,,,,,,,,,,,
Buikwe/Nakazadde,4225.0,0,0,480519.9342,,,,,,,,,,,,,,,,,,,
Kampala/Bwaise I,6345.0,0,0,687774.2647,,,,,,,,,,,,,,,,,,,
Mpigi/Magala,540.0,0,0,178801.9966,,,,,,,,,,,,,,,,,,,
Kampala/Kololo Iv,487.0,1,1,1503701.3156,,,,,,,,,,,,,,,,,,,
Wakiso/Katabi Ward,5519.0,0,0,826317.0717,,,,,,,,,,,,,,,,,,,
Buikwe/Kitigoma,1647.0,0,0,351990.8098,,,,,,,,,,,,,,,,,,,
Kampala/Kololo Ii,401.0,38,49,1906021.4431,1584000000.0,17362894.8624,49608271.0354,3.8421,2.3498,4.5081,1.0,0.9998,0.9998,0.0,6300000.0,9.0763,7.6753,9.9705,21000000.0,0.9999,0.9743,0.9743,-4549998.4921
