pt,n_listings,n_rent,n_sale,access_min,tt_cbd_min,tt_expressway_min,tt_bypass_min,tt_rail_min,acc_ntl_30,acc_jobs_30_bld,acc_jobs_30_ntl,acc_jobs_30_mix,acc_ntl_45,acc_jobs_45_bld,acc_jobs_45_ntl,acc_jobs_45_mix,acc_ntl_60,acc_jobs_60_bld,acc_jobs_60_ntl,acc_jobs_60_mix,lon,lat
POINT (451088.614953 37541.707252),1,1,0,0.371,11.554,11.281,3.788,12.932,23402.062,991511.645,977138.219,993030.884,36228.214,1159270.17,1168387.014,1175431.563,42254.982,1227633.431,1247549.83,1249309.913,32.56,0.34
POINT (451223.06928 39203.956833),5,0,5,0.629,12.651,9.871,2.274,13.631,24750.084,1007490.989,992280.37,1009166.466,37181.528,1170994.145,1180341.483,1187835.909,42734.829,1234096.776,1254771.326,1256665.098,32.562,0.355
POINT (451565.753733 38214.667637),13,1,12,0.19,10.736,9.458,1.965,12.113,25166.619,1017872.683,1004128.255,1020395.867,37284.456,1171232.676,1181993.791,1188351.168,42698.886,1233271.254,1253752.679,1255489.483,32.565,0.346
POINT (451592.857409 46079.110897),11,0,11,0.16,30.376,28.926,19.912,31.266,8812.736,406614.151,423542.543,415289.506,25221.586,1014137.97,987044.928,1013016.617,37804.796,1183218.969,1190560.77,1202091.658,32.565,0.417
POINT (451760.311786 34161.403809),36,23,13,0.796,6.057,16.155,13.308,7.33,21318.61,979682.873,979035.507,983847.321,33127.572,1119642.156,1130483.166,1132812.469,40856.758,1209567.721,1229674.388,1230362.405,32.566,0.309
POINT (451880.852656 42128.635985),73,26,47,0.696,21.123,19.673,10.659,22.013,16676.452,845753.351,834605.709,844617.915,32904.59,1124438.648,1119077.142,1135583.064,41216.425,1215665.888,1235009.338,1238484.688,32.568,0.381
POINT (451882.667507 32948.849108),4,0,4,1.657,8.416,15.741,15.336,9.674,20081.888,945354.219,950574.798,950380.525,31783.413,1099979.173,1114368.493,1112926.31,40189.302,1201486.14,1221797.014,1221753.788,32.568,0.298
POINT (451904.818902 35318.83575),1,0,1,0.613,7.525,15.78,8.286,8.798,21857.203,993184.905,981287.453,995114.215,33829.8,1129858.177,1138934.824,1143344.75,41268.713,1215356.895,1234403.956,1236022.329,32.568,0.32
POINT (451929.319528 30728.234542),6,2,4,1.273,10.355,19.824,19.419,11.613,19233.74,900527.717,928186.827,911425.956,30903.658,1087024.871,1103480.609,1099353.759,39583.538,1192137.541,1213160.017,1211207.125,32.568,0.278
POINT (451998.482275 35100.926595),2,0,2,0.076,5.362,16.119,9.9,6.669,22257.089,997047.484,992946.297,1001489.913,33947.073,1130226.342,1140370.879,1144048.566,41282.2,1215106.846,1234804.473,1236087.258,32.569,0.318
POINT (452106.414272 34683.637086),1,0,1,0.063,4.235,15.925,10.771,5.509,22432.833,996787.714,996408.232,1002033.997,33958.647,1129686.932,1140487.618,1143688.81,41301.683,1215309.211,1235036.265,1236281.772,32.57,0.314
POINT (452125.12364 29521.204757),27,2,25,1.664,13.864,18.633,22.25,15.122,16987.945,813821.046,860333.722,831004.634,29252.873,1065341.568,1083345.181,1077007.28,38361.484,1175862.249,1197404.393,1193408.462,32.57,0.267
POINT (452144.303759 34949.666868),1,1,0,0.235,4.4,17.777,10.419,5.673,21702.329,989664.947,986902.121,994027.605,33488.668,1123854.486,1134622.753,1137606.814,41135.178,1212440.742,1232485.878,1233687.663,32.57,0.316
POINT (452228.093023 34903.980027),79,33,46,0.065,4.047,17.562,10.433,5.32,21958.677,991299.731,990740.369,996265.797,33549.994,1124244.652,1135358.735,1138150.304,41173.428,1213385.567,1232998.011,1234329.456,32.571,0.316
POINT (452434.021063 35171.284976),1,0,1,0.207,3.662,17.291,9.448,5.013,22055.734,993615.333,991717.953,998635.438,33742.019,1126807.342,1137674.532,1140995.847,41255.793,1213676.046,1233741.294,1234982.076,32.573,0.318
POINT (452524.773713 33969.045151),4,0,4,0.596,4.011,18.461,12.734,5.27,21608.691,980821.238,985993.01,986760.31,33070.503,1117421.748,1129559.566,1131248.756,40894.329,1209806.8,1229442.768,1230628.261,32.573,0.307
POINT (452576.4942 12930.165079),6,0,6,3.669,61.058,28.696,44.387,62.316,1061.749,13237.346,12855.048,13104.132,4671.974,38310.748,57249.791,44694.011,15768.764,396939.941,412399.061,397226.349,32.574,0.117
POINT (452649.530683 37027.492434),2,0,2,0.827,7.751,13.446,5.56,8.073,23417.986,1010355.337,999217.457,1013326.315,35410.449,1148537.457,1158237.001,1163964.706,41942.46,1223065.907,1242963.822,1244611.887,32.574,0.335
POINT (452992.100833 33099.131065),6,1,5,0.423,4.43,16.834,13.754,5.688,21946.926,978475.165,989599.781,986150.204,33176.292,1116917.653,1130969.541,1131252.468,40879.182,1209009.309,1229680.782,1230014.513,32.578,0.299
POINT (453005.907676 43302.441888),27,5,22,1.228,21.871,20.421,11.408,22.762,15907.592,824140.094,817790.979,824823.839,31893.075,1110336.527,1103514.172,1120346.819,40760.756,1208364.082,1226784.256,1230134.841,32.578,0.392
POINT (453058.305336 43704.216068),1,1,0,1.396,22.749,21.299,12.285,23.639,14957.163,792809.74,791951.289,795240.016,31246.046,1102282.685,1094263.373,1111577.909,40435.613,1205314.391,1222172.811,1226562.156,32.578,0.395
