pt,n_listings,n_rent,n_sale,access_min,tt_cbd_min,tt_expressway_min,tt_bypass_min,tt_rail_min,acc_ntl_30,acc_jobs_30_bld,acc_jobs_30_ntl,acc_jobs_30_mix,acc_ntl_45,acc_jobs_45_bld,acc_jobs_45_ntl,acc_jobs_45_mix,acc_ntl_60,acc_jobs_60_bld,acc_jobs_60_ntl,acc_jobs_60_mix,lon,lat
POINT (450669.521595 28172.88139),2,1,1,1.074,24.296,19.724,29.432,26.031,8038.568,421441.785,432246.486,433504.569,19066.535,841184.908,885072.742,857783.964,29078.482,1061590.007,1080406.702,1071484.644,32.557,0.255
POINT (450691.748777 25762.014909),351,61,290,2.181,28.196,12.418,22.126,29.931,7776.339,251977.838,260480.371,255695.373,20979.677,872786.094,900623.667,884975.556,30297.156,1078708.39,1094659.582,1087787.02,32.557,0.233
POINT (450767.899327 41126.928198),2,2,0,0.094,21.241,17.747,7.858,22.614,13919.874,767695.73,775833.529,774616.95,27188.462,1044776.36,1027804.269,1047392.535,36761.291,1165770.633,1174450.525,1181973.611,32.558,0.372
POINT (450816.478263 28738.674855),24,6,18,0.454,22.369,19.788,27.973,24.104,8979.292,513349.368,516241.813,519489.986,20088.238,878931.397,916022.229,893951.855,29866.647,1070805.377,1090795.776,1081571.295,32.558,0.26
POINT (451019.00626 20515.187805),1,0,1,2.33,47.779,15.908,25.616,49.514,3521.136,22554.863,48461.832,30504.111,13278.818,338941.029,348007.447,337919.856,26936.979,994278.002,1013134.626,1004074.769,32.56,0.186
POINT (451035.427675 17650.689946),14,6,8,2.79,56.28,24.409,34.117,58.015,2386.26,18220.914,28891.482,21464.367,7420.056,86696.797,120588.754,95697.449,21239.656,748134.802,801019.347,770682.218,32.56,0.16
POINT (451088.614953 37541.707252),2,2,0,0.371,14.81,14.554,4.813,16.7,15967.708,860878.841,848529.178,858224.827,29263.676,1078674.893,1073653.118,1087153.188,37526.443,1172317.316,1184959.438,1189754.332,32.56,0.34
POINT (451180.868731 63521.998205),1,0,1,16.082,106.074,102.579,92.69,107.446,216.151,10020.031,9457.168,11957.967,613.721,19161.75,20216.104,22910.945,1086.626,28572.584,27256.917,31139.051,32.561,0.575
POINT (451223.06928 39203.956833),10,0,10,0.629,16.159,12.644,2.768,17.531,17125.015,870497.88,859188.72,868851.993,30433.35,1091018.473,1084856.508,1099516.792,38541.944,1184008.341,1198335.359,1202399.783,32.562,0.355
POINT (451565.753733 38214.667637),34,2,32,0.19,13.8,12.239,2.497,15.69,17570.364,887605.114,875065.412,886154.603,30651.233,1096171.236,1091642.479,1105405.025,38534.148,1183665.755,1198260.832,1202066.96,32.565,0.346
POINT (451592.857409 46079.110897),30,3,27,0.16,39.342,37.556,25.838,40.598,3708.245,103624.959,90344.649,99961.787,14319.139,716462.493,733944.438,730189.01,27188.114,1045299.062,1019403.204,1045748.774,32.565,0.417
POINT (451760.311786 34161.403809),134,79,55,0.796,7.536,20.762,17.062,9.29,14957.4,847325.49,850906.259,850092.249,25958.407,1029258.411,1043290.441,1039117.673,34280.762,1132025.908,1144789.757,1146302.588,32.566,0.309
POINT (451880.852656 42128.635985),198,64,134,0.696,27.151,25.365,13.648,28.408,10056.285,596197.934,627964.245,615062.901,22454.872,973888.636,950504.257,972111.223,34375.275,1140483.059,1141927.427,1154307.225,32.568,0.381
POINT (451882.667507 32948.849108),8,0,8,1.657,10.344,19.966,19.44,12.079,13649.909,778183.015,800902.812,786506.747,24608.297,1010353.037,1024966.363,1019162.571,33327.793,1118569.607,1133511.893,1132502.602,32.568,0.298
POINT (451904.818902 35318.83575),2,0,2,0.613,9.5,20.33,10.588,11.254,15247.557,871586.154,859104.426,869272.512,26855.278,1047620.552,1052954.976,1056541.228,35063.127,1142643.18,1154066.554,1157636.747,32.568,0.32
